Unique Transaction Identifier,Price,Date of Transaction,Postal Code,Property Type,Old/New,Duration,PAON,SAON,Street,Locality,Town/City,District,County,PPD Category Type,Record Status
{09266DDB-8844-AF90-E063-4704A8C02087},500000,2023-04-05,HP27 9LA,S,N,F,48,,WELLINGTON AVENUE,,PRINCES RISBOROUGH,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8845-AF90-E063-4704A8C02087},550000,2023-08-25,HP10 0EE,S,N,F,9,,THE GREEN,WOOBURN GREEN,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8846-AF90-E063-4704A8C02087},400000,2023-08-24,HP11 1RY,S,N,F,60,,BEECH ROAD,,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8848-AF90-E063-4704A8C02087},585000,2023-07-26,HP13 5HX,D,N,F,65,,WESTOVER ROAD,,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8849-AF90-E063-4704A8C02087},610000,2023-10-06,SL7 1JY,S,N,F,47B,,NEWTOWN ROAD,,MARLOW,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-884B-AF90-E063-4704A8C02087},2400000,2023-08-30,HP9 2NP,D,N,F,14A,,ASSHETON ROAD,,BEACONSFIELD,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-884D-AF90-E063-4704A8C02087},520000,2023-09-01,LU7 9GG,D,N,F,163,,WINDSOR ROAD,PITSTONE,LEIGHTON BUZZARD,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-884F-AF90-E063-4704A8C02087},2565000,2023-08-15,HP14 4AA,D,N,F,ROCKWORTH HOUSE,,CHINNOR ROAD,BLEDLOW RIDGE,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8850-AF90-E063-4704A8C02087},504000,2023-09-13,SL1 7BN,S,N,F,133,,LENT RISE ROAD,BURNHAM,SLOUGH,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8851-AF90-E063-4704A8C02087},750000,2023-08-24,SL0 0RQ,S,N,F,213,,THE PARKWAY,,IVER,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{09266DDB-8854-AF90-E063-4704A8C02087},610000,2023-08-01,HP22 5EH,D,N,F,4,,THE BURNHAMS,ASTON CLINTON,AYLESBURY,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
