id,property_url,title,address,price,pricing_qualifier,listing_time,property_type,bedrooms,bathrooms,epc_rating,size,features,latitude,longitude,tenure
11,https://www.onthemarket.com/details/14494546/,3 bedroom semi-detached house for sale,"Bellingdon, Chesham, Bucks, HP5",600000,Guide price,Added > 14 days,Semi-detached house,3 bed,2bath,EPC rating not available,Size info not available,"[""Tenure: Freehold"", ""Large corner plot with potential to extend"", ""Highly sought after location of Bellingdon"", ""Sought after junior and grammar schools"", ""Easy access to Chesham town & station"", ""Three double bedrooms"", ""Ample parking/home office & no chain""]",51.710675754151,-0.613238990886,FREEHOLD
12,https://www.onthemarket.com/details/13598229/,2 bedroom semi-detached bungalow for sale,"Priory Close, Uxbridge",475000,Offers in region of,Added > 14 days,Semi-detached bungalow,2 bed,1bath,EPC rating: D*,796 sq ft / 74 sq m,"[""2-bedroom semi-detached bungalow"", ""Sought after area, off street parking"", ""Close proximity to amenities and transport links"", ""Incredible opportunity for first-time homebuyers, downsizers, or investors"", ""Secure a piece of the desirable Denham real estate market"", ""Contact us for enquiries or to book viewings""]",51.564672104012,-0.495708673569,UNKNOWN
13,https://www.onthemarket.com/details/15022946/,3 bedroom terraced house for sale,"Culvert Lane, Uxbridge, Middlesex",600000,Price qualifier not available,Added < 7 days,Terraced house,3 bed,2bath,EPC rating not available,Size info not available,"[""Tenure: Freehold"", ""Freehold Terrace Home"", ""Chain Free"", ""Three Bedrooms/Two Shower Rooms"", ""Reception Room"", ""Fully Refurbished"", ""Rear Garden"", ""Summger House"", ""Council Tax Band D"", ""EPC Rating C"", ""1048 Sq Ft (97.2 Sq M)""]",51.540489592273,-0.489696651991,FREEHOLD
14,https://www.onthemarket.com/details/14486202/,3 bedroom semi-detached house for sale,"Cannock Road,  Aylesbury,  HP20",350000,Offers in excess of,Reduced < 14 days,Semi-detached house,3 bed,1bath,EPC rating: C*,"1,047 sq ft / 97 sq m","[""Tenure: Freehold"", ""Off Road Parking"", ""Gas Central Heating"", ""Close To Local Amenities"", ""Enclosed Rear Garden"", ""Three Bedrooms"", ""Conservatory""]",51.828166531879,-0.810298478924,FREEHOLD
15,https://www.onthemarket.com/details/14883379/,1 bedroom flat for sale,"Hedges Way, Aylesbury",190000,Price qualifier not available,Added > 14 days,Flat,1 bed,1bath,EPC rating: C*,581 sq ft / 54 sq m,"[""Tenure: Leasehold (117 years remaining)"", ""360 VIRTUAL TOUR"", ""*NO ONWARD CHAIN*"", ""GAS CENTRAL HEATING"", ""ALLOCATED PARKING"", ""VAULTED CEILINGS"", ""OPEN PLAN LIVING SPACE"", ""CONVERTED IN 2017"", ""WALKING DISTANCE TO TOWN CENTER"", ""WALKING DISTANCE TO TRAIN STATION""]",51.8232524,-0.8023317,LEASEHOLD
16,https://www.onthemarket.com/details/15046497/,2 bedroom bungalow for sale,"Shenley Road, Bletchley, Milton Keynes",350000,Offers in region of,Added < 7 days,Bungalow,2 bed,1bath,EPC rating not available,Size info not available,"[""TWO BEDROOMS"", ""EXTENDED SEMI-DETACHED BUNGALOW"", ""IN NEED OF MODERNISATION"", ""SHOWER ROOM"", ""AMPLE OFF-ROAD PARKING"", ""GARAGE"", ""NO UPPER CHAIN""]",51.9997143,-0.7578798,UNKNOWN
17,https://www.onthemarket.com/details/15043005/,2 bedroom maisonette for sale,"High Wycombe,  Buckinghamshire,  HP13",280000,Price qualifier not available,Added < 7 days,Maisonette,2 bed,1bath,EPC rating: C*,683 sq ft / 63 sq m,"[""Tenure: Leasehold (85 years remaining)"", ""Leasehold Term 125 years from 01/01/1984"", ""Two bedroom, ground floor maisonette"", ""C. 80ft private rear garden"", ""Bay fronted lounge/dining room"", ""Kitchen/breakfast room"", ""Cul-de-sac location, backing onto woodland"", ""Gas central heated and double glazing"", ""Awaiting clients approval on marketing""]",51.6345693,-0.7389446,LEASEHOLD
18,https://www.onthemarket.com/details/12069126/,3 bedroom semi-detached house for sale,"Carter Grove, Wolverton, Milton Keynes, Buckinghamshire, MK12",375000,Price qualifier not available,Added > 14 days,Semi-detached house,3 bed,3bath,EPC rating: B*,"1,108 sq ft / 103 sq m","[""Tenure: Freehold"", ""THREE DOUBLE BEDROOMS"", ""20FT MASTER BEDROOM"", ""LANDSCAPED REAR GARDEN"", ""HIGH SPEC KITCHEN"", ""LIGHT & AIRY LOUNGE/DINER"", ""PARKING"", ""NEW BOILER & CARPETS"", ""WALKING DISTANCE TO WOLVERTON STATION"", ""IDEAL FOR ANY GROWING FAMILY"", ""OPPOSITE WESTERN ROAD PARK""]",52.057683801771,-0.822213278535,FREEHOLD
19,https://www.onthemarket.com/details/14598870/,4 bedroom semi-detached house for sale,"St. Margarets Court, St Margaret Close, Iver SL0",625000,Guide price,Added > 14 days,Semi-detached house,4 bed,2bath,EPC rating not available,Size info not available,"[""Semi Detached House"", ""Four Bedrooms"", ""Cul De Sac"", ""Garage"", ""Downstairs WC"", ""Private Rear Garden"", ""Close To M25/M40/M4"", ""Great Investment Opportunity"", ""Close To Local Schools""]",51.537318719336,-0.519422265012,UNKNOWN
823,https://www.onthemarket.com/details/14659640/,1 bedroom penthouse for sale,"Station Road, Gerrards Cross, Buckinghamshire, SL9",345000,Price qualifier not available,Added > 14 days,Penthouse,1 bed,1bath,EPC rating not available,Size info not available,"[""Tenure: Leasehold (118 years remaining)"", ""First floor apartment"", ""Modern contemporary design"", ""Gated underground parking"", ""Very central location"", ""Residents communal terrace/garden"", ""Neutral decor throughout""]",51.587995496387,-0.550952512096,LEASEHOLD
824,https://www.onthemarket.com/details/14989505/,2 bedroom apartment for sale,"Parkgate, Burnham, SL1",270000,Guide price,Added < 14 days,Apartment,2 bed,1bath,EPC rating not available,Size info not available,"[""Tenure: Share of freehold"", ""Two bedroom first floor flat"", ""Over 900 year lease"", ""No further chain"", ""Just moments from the village"", ""16ft living room with views over Burnham Park"", ""Ideal first time/Investment purchase""]",51.532246954247,-0.656434874626,FREEHOLD
825,https://www.onthemarket.com/details/13702334/,4 bedroom end of terrace house for sale,"Westcroft, Milton Keynes MK4",350000,Offers in excess of,Added > 14 days,End of terrace house,4 bed,2bath,EPC rating: C*,"1,076 sq ft / 100 sq m","[""Tenure: Freehold"", ""3/4 Bedroom Townhouse"", ""Bedroom 4/Study"", ""En-suite Shower Room"", ""2 Cloakrooms"", ""First Floor Kitchen/Dining Room"", ""Cul-De-Sac Location"", ""Allocated Parking""]",52.00575,-0.792609,FREEHOLD
826,https://www.onthemarket.com/details/14867951/,3 bedroom link detached house for sale,"Lark Vale, Aylesbury",400000,Guide price,Added > 14 days,Link detached house,3 bed,2bath,EPC rating: D*,"1,001 sq ft / 93 sq m","[""Tenure: Freehold"", ""Close to Rail Links to London"", ""Popular Watermead Area"", ""Three Double Bedrooms"", ""Luxury En-suite to Master Bedroom"", ""Conservatory"", ""Single Garage and Driveway""]",51.829286703578,-0.804714939222,FREEHOLD
827,https://www.onthemarket.com/details/14966237/,2 bedroom terraced house for sale,"Chesham,  Buckinghamshire,  HP5",375000,Price qualifier not available,Added > 14 days,Terraced house,2 bed,1bath,EPC rating: D*,750 sq ft / 70 sq m,"[""Tenure: Freehold"", ""Lounge"", ""Dining Room"", ""Two Double Bedrooms"", ""Kitchen"", ""Bathroom"", ""Front and Tiered Rear Gardens""]",51.705259,-0.611285,FREEHOLD
828,https://www.onthemarket.com/details/14389863/,3 bedroom terraced house for sale,"Loughton, Milton Keynes MK5",385000,Offers in excess of,Added > 14 days,Terraced house,3 bed,1bath,EPC rating: C*,839 sq ft / 78 sq m,"[""Tenure: Freehold"", ""Three bedroom terraced house"", ""Renovated throughout"", ""High quality finishes"", ""Modern kitchen with appliances"", ""Beautiful garden"", ""Spacious kitchen and dining room"", ""Entrance Hall & Cloakroom"", ""Large driveway"", ""Close to CMK Train Station"", ""EPC rating: C""]",52.0321644,-0.7892066,FREEHOLD
829,https://www.onthemarket.com/details/14072255/,3 bedroom bungalow for sale,"Nalders Road, Chesham, HP5",500000,Guide price,Added > 14 days,Bungalow,3 bed,1bath,EPC rating not available,Size info not available,"[""Tenure: Freehold"", ""A beautifully refurbished bungalow"", ""Highly sought after school catchments"", ""Bespoke finish throughout"", ""Stunning kitchen/breakfast/living room"", ""Three good sized bedrooms"", ""Landscaped gardens/drive & workshop""]",51.715651780929,-0.602031901495,FREEHOLD
830,https://www.onthemarket.com/details/14236860/,4 bedroom detached house for sale,"The Boundary, Oldbrook, Milton Keynes",465000,Price qualifier not available,Added > 14 days,Detached house,4 bed,2bath,EPC rating: C*,"1,313 sq ft / 122 sq m","[""Double Storey Extension"", ""Single Garage & Driveway Parking"", ""En Suite to Master"", ""Walking Distance to CMK"", ""Private Rear Garden"", ""Two Spacious Reception Rooms""]",52.0302076,-0.7516081,UNKNOWN
831,https://www.onthemarket.com/details/13864277/,1 bedroom ground floor maisonette for sale,"Maplin Park, Slough SL3",210000,Price qualifier not available,Added > 14 days,Ground floor maisonette,1 bed,1bath,EPC rating: C*,409 sq ft / 38 sq m,"[""Tenure: Leasehold (117 years remaining)""]",51.506931316479,-0.534212420951,LEASEHOLD
839,https://www.onthemarket.com/details/14967711/,1 bedroom apartment for sale,"Bellevue House, Market Hill, Buckingham",225000,Price qualifier not available,Added > 14 days,Apartment,1 bed,1bath,EPC rating not available,Size info not available,"[""Stunning town centre development"", ""8 , 1 & 2 bedroom luxury apartments"", ""Finished to a high standard"", ""Quality fitted kitchen"", ""Quality fitted shower rooms"", ""High end fitted wardrobes"", ""999 year lease"", ""Energy rating awaited""]",52.000659777872,-0.987016022324,UNKNOWN
840,https://www.onthemarket.com/details/14872115/,3 bedroom semi-detached house for sale,"Wendover Street, High Wycombe HP11",385000,Price qualifier not available,Added > 14 days,Semi-detached house,3 bed,1bath,EPC rating: D*,947 sq ft / 88 sq m,"[""OFFERED FOR SALE BY THE WYE PARTNERSHIP"", ""Traditional Three Bedroom Semi Detached House"", ""Gas Central Heating To Radiators And Double Glazed Windows"", ""Two Reception Rooms, Three Bedrooms, Refitted Kitchen And Bathroom"", ""Good Size Rear garden, Double Garage Plus Additional Driveway Parking"", ""We Hold Keys, No Upper Chain, Vacant""]",51.629693491194,-0.759638224696,UNKNOWN
843,https://www.onthemarket.com/details/14706040/,4 bedroom detached house for sale,"Harkness Close, Bletchley, MK2",525000,Guide price,Added > 14 days,Detached house,4 bed,3bath,EPC rating: D*,"1,778 sq ft / 165 sq m","[""Tenure: Freehold"", ""Four bedroom Detached Home"", ""Double garage with electric door"", ""Bedroom 1 with en suite"", ""Three bathrooms"", ""Underfloor heating"", ""Rear garden"", ""Newly renovated kitchen"", ""Utility room"", ""Off road parking for several vehicles"", ""Corner plot""]",51.986141413522,-0.725416057201,FREEHOLD
844,https://www.onthemarket.com/details/14288178/,1 bedroom apartment for sale,"Columbia Place, Campbell Park, Milton Keynes",175000,Price qualifier not available,Added > 14 days,Apartment,1 bed,1bath,EPC rating: C*,559 sq ft / 52 sq m,"[""ONE-BEDROOM APARTMENT"", ""NO UPPER CHAIN"", ""GROUND FLOOR"", ""OPEN-PLAN LIVING"", ""KITCHEN WITH INTEGRATED APPLIANCES"", ""SECURED ALLOCATED PARKING"", ""GROUND RENT - APPROX. \u00a3270 p/a. SERVICE CHARGE - APPROX. \u00a3378 pcm"", ""LEASE REMAINING - APPROX. 108 yrs""]",52.043972867468,-0.743868645681,UNKNOWN
845,https://www.onthemarket.com/details/14712503/,2 bedroom cottage for sale,"Church End, Newton Longville, Milton Keynes",315000,Price qualifier not available,Reduced < 14 days,Cottage,2 bed,1bath,EPC rating: E*,592 sq ft / 55 sq m,"[""Character Cottage"", ""Feature Fireplace"", ""Fantastic School Catchment"", ""Offered Chain Free"", ""Detached Garden"", ""Off Road Parking"", ""Overlooking St Faiths Church""]",51.975282061739,-0.766682247477,UNKNOWN
846,https://www.onthemarket.com/details/14229474/,1 bedroom apartment for sale,"Union Court, Campbell Wharf",235000,Price qualifier not available,Added > 14 days,Apartment,1 bed,1bath,EPC rating not available,Size info not available,"[""One Double Bedroom"", ""First Floor Executive Flat"", ""Central Location"", ""CANAL VIEWS"", ""Living Room With Balcony"", ""Communal Roof Garden"", ""Secure Parking"", ""No upward chain"", ""Internal viewing highly recommended"", ""Energy Rating: C""]",35.001491207684,-80.761588028071,UNKNOWN
21,https://www.onthemarket.com/details/14940868/,2 bedroom end of terrace house for sale,"Lark Vale, Aylesbury HP19",375000,Price qualifier not available,Added > 14 days,End of terrace house,2 bed,1bath,EPC rating: D*,495 sq ft / 46 sq m,"[""Tenure: Freehold"", ""WATERMEAD"", ""EXTENDED ACCOMMODATION"", ""TWO/THREE BEDROOMS"", ""GARAGE & PARKING"", ""REFITTED KITCHEN"", ""REFITTED BATHROOM"", ""REDECORATED THROUGHOUT"", ""QUIET POSITION"", ""CORNER PLOT REAR GARDEN"", ""NO UPPER CHAIN""]",51.829286703578,-0.804714939222,FREEHOLD
22,https://www.onthemarket.com/details/14455224/,2 bedroom apartment for sale,"Gyosei Gardens, Willen Park, Milton Keynes",240000,Guide price,Reduced < 14 days,Apartment,2 bed,2bath,EPC rating: B*,742 sq ft / 69 sq m,"[""Adjacent to The Grand Union Canal"", ""Southerly facing balcony"", ""Modern first floor apartment"", ""En-suite shower room"", ""Two double bedroom"", ""Generous size light and airy lounge dining room"", ""Fitted kitchen"", ""Popular area"", ""Good decorative order"", ""Allocated parking""]",52.0550301,-0.7325207,UNKNOWN
23,https://www.onthemarket.com/details/14709726/,1 bedroom cottage for sale,"Mitre Street, Buckingham",239995,Price qualifier not available,Reduced < 14 days,Cottage,1 bed,1bath,EPC rating: E*,516 sq ft / 48 sq m,"[""ONE BEDROOM COTTAGE"", ""STUDY/DRESSING ROOM WITH BUILT IN CUPBOARDS"", ""WITHIN WALKING DISTANCE OF THE TOWN CENTRE & UNIVERSITY"", ""IN GOOD ORDER THROUGHOUT"", ""REAR GARDEN"", ""TWO OUTSIDE STORAGE SHEDS"", ""WHITE SUITE BATHROOM"", ""EPC RATING E""]",51.9945394,-0.9934098,UNKNOWN
28,https://www.onthemarket.com/details/13154240/,2 bedroom apartment for sale,Milton Keynes MK9,240000,Guide price,Added > 14 days,Apartment,2 bed,1bath,EPC rating not available,Size info not available,"[""Tenure: Leasehold"", ""2 Bedrooms"", ""5th Floor Apartment"", ""Balcony"", ""Underground Parking"", ""Built in Appliances"", ""Situated Within \""The Hub\"""", ""Tenanted Until January""]",52.0406502,-0.7594092,LEASEHOLD
31,https://www.onthemarket.com/details/14930567/,2 bedroom apartment for sale,"70 Walton Street, Bucks HP21",210000,Price qualifier not available,Added > 14 days,Apartment,2 bed,1bath,EPC rating: D*,602 sq ft / 56 sq m,"[""Tenure: Leasehold"", ""TWO BEDROOMS"", ""THRID FLOOD APARTMENT"", ""LIFT SERVICING ALL FLOORS"", ""OPEN PLAN LIVING SPACE"", ""SECURED ALLOCATED PARKING"", ""MODERN KITCHEN"", ""WALK TO TOWN"", ""WALK TO STOKE MANDEVILLE HOSPITAL"", ""WALK TO TRAIN STATION""]",51.811539806338,-0.807966012884,LEASEHOLD
63,https://www.onthemarket.com/details/15047359/,3 bedroom semi-detached house for sale,"Ryeland, Buckingham",320000,Offers in excess of,Added < 7 days,Semi-detached house,3 bed,2bath,EPC rating: C*,861 sq ft / 80 sq m,"[""THREE BEDROOM FAMILY HOME"", ""OPEN PLAN KITCHEN/DINER"", ""LOUNGE"", ""CLOAKROOM"", ""EN-SUITE TO MASTER"", ""FRONT & REAR GARDENS"", ""DRIVEWAY & GARAGE"", ""NO ONWARD CHAIN""]",52.009394195901,-0.981770618221,UNKNOWN
847,https://www.onthemarket.com/details/14700528/,1 bedroom apartment for sale,"Stoney Grove, Chesham, Buckinghamshire, HP5",257950,Guide price,Added > 14 days,Apartment,1 bed,1bath,EPC rating not available,Size info not available,"[""Tenure: Leasehold (117 years remaining)"", ""A beautifully presented 'bungalow style' apartment"", ""Private entrance with allocated parking"", ""Roof top views over allotments"", ""Short walk to the town & station"", ""Modern kitchen & bathroom"", ""Quiet cul-de-sac location""]",51.711417847141,-0.60153642952,LEASEHOLD
848,https://www.onthemarket.com/details/13887131/,3 bedroom bungalow for sale,"Hillcroft Road, Chesham, HP5",500000,Offers in excess of,Added > 14 days,Bungalow,3 bed,1bath,EPC rating not available,Size info not available,"[""Tenure: Freehold"", ""A beautifully presented extended bungalow"", ""Enviable corner plot with potential (STPP)"", ""Sought after position on Hilltop"", ""Two receptions/three bedrooms"", ""Detached garage and driveway parking"", ""Stunning gardens and no chain""]",51.71672029852,-0.599160628748,FREEHOLD
849,https://www.onthemarket.com/details/14376137/,3 bedroom terraced house for sale,"Eaton Bray, Dunstable LU6",425000,Guide price,Added > 14 days,Terraced house,3 bed,1bath,EPC rating: C*,925 sq ft / 86 sq m,"[""Tenure: Freehold"", ""Three Double Bedrooms"", ""Period Home Situated in the Popular Village of Eaton Bray"", ""Modern and Spacious Kitchen / Diner with Integrated Appliances"", ""19ft Lounge"", ""Conservatory"", ""Recently Re-Fitted Shower Room"", ""Generous Size, Privately Enclosed Rear Garden"", ""Excellent M1 and A5 Commuter Links"", ""Short Walking Distance to Village School and Amenities""]",51.87282499246,-0.600957228151,FREEHOLD
850,https://www.onthemarket.com/details/14787933/,2 bedroom maisonette for sale,"Cannock Road, Aylesbury",215000,Price qualifier not available,Added > 14 days,Maisonette,2 bed,1bath,EPC rating: D*,613 sq ft / 57 sq m,"[""Ground floor maisonette"", ""Two bedrooms"", ""Private garden"", ""Driveway parking"", ""Refitted kitchen"", ""Gas central heating & double glazing"", ""Refitted Shower room"", ""89 year lease""]",51.8281719,-0.8100542,UNKNOWN
855,https://www.onthemarket.com/details/14949407/,2 bedroom apartment for sale,"Kirkwood Grove, Medbourne",250000,Price qualifier not available,Added > 14 days,Apartment,2 bed,1bath,EPC rating: C*,925 sq ft / 86 sq m,"[""Two Double Bedrooms"", ""Duplex Apartment"", ""Downstairs Cloakroom"", ""Kitchen/Breakfast Room"", ""Integrated Appliances"", ""Lounge/Dining Room"", ""Bathroom With Shower"", ""No upward chain"", ""Popular area close to Shenley Woods"", ""Energy Rating C""]",52.0187319,-0.8065992,UNKNOWN
856,https://www.onthemarket.com/details/13633306/,4 bedroom detached house for sale,"Mill Street, Newport Pagnell, Buckinghamshire, MK16",600000,Price qualifier not available,Added > 14 days,Detached house,4 bed,2bath,EPC rating not available,"1,584 sq ft / 147 sq m","[""Tenure: Freehold"", ""Renovated detached house"", ""Four bedrooms; home office/dressing room and en suite"", ""Open plan kitchen/dining/family room"", ""Gas to radiator heating"", ""Garage and private parking"", ""Private courtyard garden"", ""Walking distance from high street amenities"", ""River and Bury Common walks""]",52.088293273853,-0.721854115561,FREEHOLD
857,https://www.onthemarket.com/details/12724717/,2 bedroom flat for sale,"Northern Road, ,  Aylesbury,  HP19",150000,Offers in excess of,Added > 14 days,Flat,2 bed,1bath,EPC rating: E*,616 sq ft / 57 sq m,"[""Tenure: Leasehold (117 years remaining)"", ""Leasehold Term 125 years from 25/03/2016"", ""Open To All Buyers"", ""Kitchen"", ""Two Double Bedroom"", ""Main Bathroom"", ""Communal Garden Space"", ""1.4 Miles to The Town Centre"", ""No Upper Chain"", ""Awaiting Vendor approval on details""]",51.823604022955,-0.821367984424,LEASEHOLD
40,https://www.onthemarket.com/details/14606421/,1 bedroom apartment for sale,"Ramsthorn Grove, Milton Keynes MK7",140000,Offers over,Added > 14 days,Apartment,1 bed,1bath,EPC rating: D*,495 sq ft / 46 sq m,"[""Attention Investors & First Time Buyers"", ""Potential Rental Income of \u00a31,000 pcm"", ""Spacouis Bedroom with Balcony"", ""Duplex Apartment"", ""Walking Distance To Local Shops"", ""Balcony Off Of Spacious Living Room"", ""Off Road Parking"", ""Popular Residential Location""]",52.023713415458,-0.694086217061,UNKNOWN
41,https://www.onthemarket.com/details/14578544/,3 bedroom terraced house for sale,"Newtown Road, Uxbridge, UB9",440000,Price qualifier not available,Added > 14 days,Terraced house,3 bed,1bath,EPC rating: C*,807 sq ft / 75 sq m,"[""NO ONWARD CHAIN"", ""TERRACED HOME"", ""THREE BEDROOMS"", ""OFF STREET PARKING"", ""WALKING DISTANCE TO UXBRIDGE"", ""EASY ACCES TO M40/A40 AND M25""]",51.552815462417,-0.490872041999,UNKNOWN
42,https://www.onthemarket.com/details/14333406/,2 bedroom apartment for sale,"Oakridge Road, High Wycombe",305000,Offers over,Added > 14 days,Apartment,2 bed,2bath,EPC rating: B*,796 sq ft / 74 sq m,"[""Tenure: Leasehold (118 years remaining)"", ""Immaculate two bedroom flat"", ""Walking distance to town"", ""Riverside location"", ""Spacious open plan kitchen"", ""Balcony off of the living room"", ""Master bedroom with en-suite"", ""Built in wardrobes for ample storage"", ""Allocated parking"", ""Ideal for couples and first time buyers"", ""Contemporary design and well maintained condition""]",51.6337791,-0.7673503,LEASEHOLD
43,https://www.onthemarket.com/details/14756423/,2 bedroom end of terrace house for sale,"Queen Street, High Wycombe HP13",330000,Guide price,Added > 14 days,End of terrace house,2 bed,1bath,EPC rating: D*,688 sq ft / 64 sq m,"[""NO ONWARD CHAIN"", ""CLOSE TO STATION"", ""END TERRACE"", ""TWO DOUBLE BEDROOMS"", ""WALK OF TOWN CENTRE"", ""ON STREET PERMIT PARKING"", ""GAS CENTRAL HEATING"", ""FAMILY BATHROOM"", ""OPEN PLAN LOUNGE/DINER"", ""CHARACTER COTTAGE""]",51.630350489463,-0.740661970685,UNKNOWN
44,https://www.onthemarket.com/details/12236461/,1 bedroom apartment for sale,"Station Road, Marlow",300000,Offers in excess of,Added > 14 days,Apartment,1 bed,1bath,EPC rating not available,Size info not available,"[""Tenure: Share of freehold"", ""Town Centre One bedroom Apartment"", ""Private Entrance Hall"", ""Spacious Living/Dining Room"", ""Fitted Kitchen"", ""Bathroom"", ""Two Parking Spaces"", ""Communal Courtyard Garden"", ""Share of the Freehold"", ""NO ONWARD CHAIN""]",51.5705629,-0.7716432,FREEHOLD
45,https://www.onthemarket.com/details/15034139/,3 bedroom detached house for sale,"Howe Rock Place, Tattenhoe",495000,Guide price,Added < 7 days,Detached house,3 bed,2bath,EPC rating: C*,"1,022 sq ft / 95 sq m","[""Modern detached family home"", ""Large conservatory"", ""Fitted kitchen with a pantry"", ""Utility room"", ""En-suite shower room & Dressing area"", ""Attractive enclosed rear garden with decking"", ""Lounge and dining area"", ""Popular area"", ""Council tax band D"", ""Energy Rating C""]",51.9997394,-0.7826055,UNKNOWN
46,https://www.onthemarket.com/details/14868863/,2 bedroom apartment for sale,"Cobblers close , Farnham Royal SL2",280000,Price qualifier not available,Added > 14 days,Apartment,2 bed,1bath,EPC rating not available,Size info not available,"[""Tenure: Share of freehold"", ""SHARE OF FREEHOLD"", ""TWO DOUBLE BEDROOMS"", ""RECENTLY REFURBISHED AND REDECORATED"", ""WOODEN FLOORS THROUGHOUT"", ""GARAGE AND ALLOCATED PARKING"", ""CLOSE BY TO BURNHAM BEECHES AND THE BROADWAY"", ""SCHOOLS WITHIN EASY ACCESS"", ""900 YEAR LEASE""]",51.538651674569,-0.619955567641,FREEHOLD
858,https://www.onthemarket.com/details/14933379/,2 bedroom cottage for sale,"Chapel Street, Downley",425000,Price qualifier not available,Added > 14 days,Cottage,2 bed,1bath,EPC rating: E*,807 sq ft / 75 sq m,"[""Tenure: Freehold"", ""Semi Detached Cottage"", ""Period Features"", ""2 Bedrooms with Additional Loft Room"", ""Modern Family Bathroom"", ""Kitchen"", ""Lounge with Wood Burning Stove"", ""Cottage style garden in excess of 100 feet"", ""In the Heart of Downley Village"", ""Close to National Trust Hughenden Manor & Park"", ""EPC 49E / Council Tax Band D""]",51.6484913,-0.774589,FREEHOLD
859,https://www.onthemarket.com/details/15036715/,1 bedroom apartment for sale,"Layters Green Lane, Chalfont St. Peter, Gerrards Cross, Buckinghamshire, SL9",270000,Price qualifier not available,Added < 7 days,Apartment,1 bed,1bath,EPC rating not available,Size info not available,"[""Tenure: Leasehold (979 years remaining)"", ""One double bedroom"", ""Convenient location"", ""Communal gardens"", ""Allocated parking space"", ""Visitor space"", ""Secure gated entry""]",51.601547123173,-0.577793688583,LEASEHOLD
860,https://www.onthemarket.com/details/12991757/,2 bedroom apartment for sale,"Boundary Road, Loudwater HP10",259950,Price qualifier not available,Added > 14 days,Apartment,2 bed,1bath,EPC rating: C*,721 sq ft / 67 sq m,"[""Tenure: Leasehold (125 years remaining)"", ""22ft Open Plan Living Room & Kitchen"", ""Juliette Balcony"", ""Over 600sq ft accommodation"", ""Remainder Of A 125 Year Lease"", ""Two Generous Bedrooms"", ""Allocated Parking"", ""Remainder Of A 10 Year Builders Warranty"", ""Newly Converted Exclusive Development"", ""Luxury Bathroom"", ""Excellent Access To The M40 at Loudwater""]",51.604570603646,-0.698984555134,LEASEHOLD
861,https://www.onthemarket.com/details/14706828/,1 bedroom flat for sale,"Poets Chase, Aylesbury",165000,Price qualifier not available,Added > 14 days,Flat,1 bed,1bath,EPC rating: C*,452 sq ft / 42 sq m,"[""Tenure: Leasehold (962 years remaining)"", ""POETS CHASE"", ""SOUTHSIDE OF AYLESBURY"", ""999 YEAR LEASE FROM 1987"", ""TOP FLOOR FLAT"", ""ALLOCATED PARKING"", ""COMMUNAL GARDENS"", ""WALK TO TOWN CENTRE"", ""CLOSE TO TRAIN STATION"", ""VIEWING RECOMMENDED""]",51.8077016,-0.8044872,LEASEHOLD
870,https://www.onthemarket.com/details/15026810/,3 bedroom detached house for sale,"Tortoiseshell Road, Aylesbury",435000,Price qualifier not available,Added < 7 days,Detached house,3 bed,2bath,EPC rating: C*,668 sq ft / 62 sq m,"[""Detached family home"", ""Three bedrooms"", ""Refitted kitchen/diner"", ""Sunny aspect rear garden"", ""Double length driveway with carport"", ""Stunning condition throughout"", ""Popular modern development"", ""En-suite shower room & family bathroom"", ""WC / utility room"", ""Internal viewing highly recommended""]",51.835545046415,-0.823518635792,UNKNOWN
