Unique Transaction Identifier,Price,Date of Transaction,Postal Code,Property Type,Old/New,Duration,PAON,SAON,Street,Locality,Town/City,District,County,PPD Category Type,Record Status
{1A0C5C63-10CF-7CBE-E063-4804A8C06C96},175000,2023-03-13,HP13 7AU,F,N,L,ELIZABETH COURT,3,SPRING GARDENS ROAD,,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{0E082196-B94B-5C09-E063-4704A8C0A10E},215000,2023-10-17,HP21 9HR,T,N,F,16,,LOTT MEADOW,,AYLESBURY,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{1A0C5C63-10E3-7CBE-E063-4804A8C06C96},550000,2023-12-08,HP10 8BH,S,N,F,27,,THE LAWNS,PENN,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{1A0C5C63-10E4-7CBE-E063-4804A8C06C96},365000,2023-12-08,HP5 2LL,T,N,F,3,,REYNOLDS WALK,,CHESHAM,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{1A0C5C63-10E7-7CBE-E063-4804A8C06C96},700000,2023-09-15,HP9 1AL,D,N,F,18,,MEADOW LANE,,BEACONSFIELD,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{1A0C5C63-10F0-7CBE-E063-4804A8C06C96},390000,2023-12-20,HP13 5YT,T,N,F,69,,GARRATTS WAY,,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{1A0C5C63-10FA-7CBE-E063-4804A8C06C96},270000,2023-12-01,MK18 4QD,D,N,F,THE ROOST,,WEST WELL CLOSE,TINGEWICK,BUCKINGHAM,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{1A0C5C63-10FD-7CBE-E063-4804A8C06C96},1395000,2023-12-14,SL1 8JE,S,N,F,4,,KIMBERS DRIVE,BURNHAM,SLOUGH,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{1A0C5C63-1109-7CBE-E063-4804A8C06C96},440000,2023-10-26,MK17 0JQ,D,N,F,2,,NORTH CLOSE,DRAYTON PARSLOW,MILTON KEYNES,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{1A0C5C63-1118-7CBE-E063-4804A8C06C96},365000,2023-08-24,HP21 9PN,T,N,F,20,,BARNARD CRESCENT,,AYLESBURY,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{1A0C5C63-111C-7CBE-E063-4804A8C06C96},523000,2023-12-21,SL9 9DP,S,N,F,THE SEASONS,,HAMPDEN ROAD,CHALFONT ST PETER,GERRARDS CROSS,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{1A0C5C63-1121-7CBE-E063-4804A8C06C96},615000,2023-07-21,SL9 9PE,S,N,F,45A,,GROVE HILL,CHALFONT ST PETER,GERRARDS CROSS,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
{1A0C5C63-1133-7CBE-E063-4804A8C06C96},500000,2023-12-18,HP6 6EJ,T,N,F,24,,THE PENNINGTONS,,AMERSHAM,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,A
