id,property_url,title,address,price,pricing_qualifier,listing_time,property_type,bedrooms,bathrooms,epc_rating,size,features,normalized_address,source,latitude,longitude,Unique Transaction Identifier,Price,Date of Transaction,Postal Code,Property Type,Old/New,Duration,PAON,SAON,Street,Locality,Town/City,District,County,PPD Category Type,Record Status,Date
1.0,https://www.onthemarket.com/details/13262643/,1 bedroom apartment for sale,"The Green, High Wycombe HP10",275000.0,Price qualifier not available,OnTheMarket > 14 days,Apartment,1 bed,1bath,EPC rating: C*,645 sq ft / 60 sq m,"['Bedroom', 'First Floor', 'Decking Garden', 'Kitchen/Breakfast Room', 'Currently Tenanted', 'Overlooking Green']","The Green, High Wycombe HP10, Buckinghamshire",scraped,51.587275051043,-0.683925920449,,275000.0,,,F,,,,,,,,,,,,2023-12-31
2.0,https://www.onthemarket.com/details/14047885/,2 bedroom apartment for sale,"Aylesbury, Buckinghamshire HP21",220000.0,Price qualifier not available,OnTheMarket > 14 days,Apartment,2 bed,2bath,EPC rating: D*,678 sq ft / 63 sq m,"['Tenure: Leasehold (77 years remaining)', 'Two Bedroom', 'Two Bathroom', 'Close To Stoke Mandeville Hospital', '6% Yield', 'Tenant in Situ', 'Great Investment', 'Allocated Parking Space']","Aylesbury, Buckinghamshire HP21",scraped,51.8030943,-0.8174484,,220000.0,,,F,,,,,,,,,,,,2023-12-31
3.0,https://www.onthemarket.com/details/14068644/,4 bedroom semi-detached house for sale,"Edzell Crescent, Milton Keynes MK4",465000.0,Price qualifier not available,OnTheMarket < 14 days,Semi-detached house,4 bed,2bath,EPC rating: C*,"1,130 sq ft / 105 sq m",['Tenure: Freehold'],"Edzell Crescent, Milton Keynes MK4, Buckinghamshire",scraped,52.004837150019,-0.802237807397,,465000.0,,,S,,,,,,,,,,,,2023-12-31
4.0,https://www.onthemarket.com/details/13944473/,1 bedroom flat for sale,"Scafell Road, Slough",195000.0,Guide price,OnTheMarket > 14 days,Flat,1 bed,1bath,EPC rating: D*,516 sq ft / 48 sq m,"['ACCESS TO LOFT SPACE', '18 MINUTE WALK TO BURNHAM RAIL STATION (DIRECT ACCESS TO CENTRAL LONDON VIA ELIZABETH LINE)', 'CLOSE TO LOCAL SHOPS AND PARKS', 'EASY ACCESS TO M4 MOTORWAY (JUNCTION 7)', 'OFF STREET RESIDENTS PARKING', 'ACCESS TO EXCELLENT TRANSPORT LINKS', 'EPC - TBC', 'APPROX NET RENTAL YIELD OF 6.00%']","Scafell Road, Slough, Buckinghamshire",scraped,51.527797562504,-0.63463616673,,195000.0,,,F,,,,,,,,,,,,2023-12-31
5.0,https://www.onthemarket.com/details/13422734/,3 bedroom flat for sale,"High Wycombe,  Buckinghamshire,  HP13",265000.0,Price qualifier not available,OnTheMarket > 14 days,Flat,3 bed,1bath,EPC rating: D*,635 sq ft / 59 sq m,"['Tenure: Leasehold (89 years remaining)', 'Leasehold Term 125 years from 01/01/1987', 'Three bedroom apartment', 'Lounge/dining room', 'Allocated parking', 'Kitchen', 'Bathroom', 'No onward chain']","High Wycombe,  Buckinghamshire,  HP13",scraped,51.628329,-0.7426181,,265000.0,,,F,,,,,,,,,,,,2023-12-31
6.0,https://www.onthemarket.com/details/13522281/,5 bedroom detached house for sale,"Bridgnorth Drive, Kingsmead, Milton Keynes",475000.0,Offers over,OnTheMarket > 14 days,Detached house,5 bed,3bath,EPC rating: D*,861 sq ft / 80 sq m,"['Versatile Rear Extension', 'Fully Utilised Loft Conversion', 'Three Bathrooms', 'Single Garage, Carport and Driveway Parking', 'Spacious Lounge', 'Private South Facing Garden']","Bridgnorth Drive, Kingsmead, Milton Keynes, Buckinghamshire",scraped,51.999981955829,-0.8047430062,,475000.0,,,D,,,,,,,,,,,,2023-12-31
7.0,https://www.onthemarket.com/details/11962475/,3 bedroom penthouse for sale,"Rockingham Road, Uxbridge, UB8",550000.0,Price qualifier not available,OnTheMarket > 14 days,Penthouse,3 bed,1bath,EPC rating not available,Size info not available,"['Tenure: Leasehold', 'Penthouse with Terrace', 'Brand New Development', 'Luxury Spec', 'Available Immediately', 'Close to Tube Station', 'Close to Heathrow Airport', 'Car Parking Space', 'Full Colour Video Entryphone', 'Lifts Available']","Rockingham Road, Uxbridge, UB8, Buckinghamshire",scraped,51.544398888101,-0.486509857783,,550000.0,,,F,,,,,,,,,,,,2023-12-31
8.0,https://www.onthemarket.com/details/14042689/,1 bedroom apartment for sale,"28 West Street, Buckingham",139995.0,Price qualifier not available,OnTheMarket > 14 days,Apartment,1 bed,1bath,EPC rating: E*,430 sq ft / 40 sq m,"['Town Centre Location', 'Open Plan Living Space', 'One Bedroom', 'No Upper Chain', 'Grade ll Listed Building', 'Ideal Rental Opportunity']","28 West Street, Buckingham, Buckinghamshire",scraped,51.9374632,-0.9887740955566235,,139995.0,,,F,,,,,,,,,,,,2023-12-31
9.0,https://www.onthemarket.com/details/13858803/,2 bedroom terraced house for sale,"Shenley Brook End, Milton Keynes MK5",250000.0,Offers in excess of,OnTheMarket > 14 days,Terraced house,2 bed,1bath,EPC rating not available,Size info not available,"['Tenure: Freehold', 'Terrace Cottage', '2 Bedrooms', 'Open Plan Living Area', 'Fitted Kitchen with Built in Appliances', 'No Upper Chain', 'Enclosed Front Garden', 'Vacant Possession']","Shenley Brook End, Milton Keynes MK5, Buckinghamshire",scraped,52.014425829,-0.789779868,,250000.0,,,T,,,,,,,,,,,,2023-12-31
10.0,https://www.onthemarket.com/details/13815550/,2 bedroom end of terrace house for sale,"Aylesbury Street, Wolverton, Milton Keynes, Buckinghamshire, MK12",220000.0,Price qualifier not available,OnTheMarket > 14 days,End of terrace house,2 bed,1bath,EPC rating: E*,699 sq ft / 65 sq m,"['Tenure: Freehold', 'TWO DOUBLE BEDROOMS', 'END OF TERRACE', 'REFITTED BATHROOM', 'REFITTED KITCHEN', 'NEWLY INSTALLED COMBINATION BOILER', 'LARGE BOARDED LOFT', 'PRIVATE REAR GARDEN', 'WALKING DISTANCE TO LOCAL SHOPS', 'GREAT FIRST TIME PURCHASE', 'IDEAL INVESTMENT']","Aylesbury Street, Wolverton, Milton Keynes, Buckinghamshire, MK12",scraped,52.060801134445,-0.810648456529,,220000.0,,,T,,,,,,,,,,,,2023-12-31
