Income,Savings,PreferredLocation,DesiredPropertyType,MustHaveFeatures,NiceToHaveFeatures,MaxCommuteTime,FamilySize
77450.71229516849,43993.55436586002,Suburban,Apartment,Parking,Fireplace,19,2
67926.03548243223,39246.336829127686,Rural,Apartment,None,Fireplace,52,3
79715.32807151039,30596.30369920174,Suburban,Condo,Garden,Fireplace,24,2
92845.44784612038,23530.63222294426,Rural,Apartment,Swimming Pool,Walk-in Closet,47,2
66487.69937914996,36982.233136135896,Rural,Condo,Parking,Balcony,24,2
66487.94564576229,33934.853854217494,Rural,Apartment,Parking,Walk-in Closet,14,5
93688.19223261088,38951.932200277326,Suburban,House,Parking,Walk-in Closet,38,4
81511.52093729364,36351.718016819694,Urban,Condo,None,None,28,4
62957.88421097572,40495.527153193354,Urban,Condo,None,Balcony,19,4
78138.40065378947,24647.64788439432,Suburban,Apartment,None,Balcony,21,5
63048.734607813065,43173.94065634326,Urban,Apartment,Gym,Fireplace,13,3
63014.05369644615,31975.996046923996,Urban,Condo,Parking,Fireplace,40,2
73629.43407349051,50752.608726252656,Rural,Apartment,Swimming Pool,None,27,3
41300.79633013303,23108.121819104323,Rural,House,None,Walk-in Closet,25,5
44126.23251230451,47359.63803165249,Suburban,Apartment,None,Fireplace,49,4
61565.68706138541,31979.107834626477,Suburban,House,Parking,Fireplace,45,2
54807.53319498364,23485.819963855516,Urban,House,None,Balcony,34,1
74713.70998892911,25161.141659456785,Rural,House,Gym,Balcony,32,1
56379.638867181835,26796.5269180568,Suburban,House,Gym,Fireplace,21,3
48815.444479970625,34241.65946401916,Suburban,House,None,Balcony,43,4
91984.7315338233,35228.35488035499,Suburban,Apartment,Parking,None,45,1
66613.35549270196,24262.99996061421,Suburban,House,Parking,Fireplace,46,3
71012.92307031885,29756.45407739017,Suburban,Apartment,Parking,Balcony,12,5
48628.77720679815,51422.70358611864,Suburban,House,Garden,None,18,3
61834.25913212226,47275.43170100711,Urban,Condo,None,Balcony,27,3
71663.83884564799,34363.23669674032,Rural,House,Parking,Balcony,52,3
52735.09633866546,30380.034781682003,Rural,Condo,Gym,Balcony,44,2
75635.47027518509,31200.313267182613,Suburban,House,Swimming Pool,Fireplace,43,3
